sample,total_length_mm,abdomen_length_mm,intertegular_dist_mm
GBP23060101M,11.78,5.45,3.88
GBP23060102M,12.80,6.29,4.06
GBP23060103M,11.51,5.62,3.91
GBP23060104M,10.88,4.95,
GBP23011101M,17.81,9.72,5.40
GBP23021101M,16.50,11.38,6.30
GBP23021102M,16.48,8.36,5.67
GBP23021103M,17.44,9.16,5.30
GBP23021104M,16.53,10.18,5.39
GBP23041101M,17.21,10.32,5.13
GBP23041102M,16.77,9.23,5.58
GBP23041103M,14.94,9.54,5.27
GBP23041104M,16.55,9.67,5.52
GBP23061001M,10.72,4.98,3.64
GBP23041301M,18.11,10.62,5.65
GBP23061002M,13.54,6.69,4.22
GBP23061003M,13.20,7.02,3.76
GBP23061004M,13.98,7.02,4.64
GBP23061005M,16.01,7.53,4.82
GBP23021401M,16.12,8.71,5.56
GBP23031401M,18.74,10.59,5.37
GBP23031402M,13.41,5.86,4.48
GBP23031403M,19.80,10.99,5.70
GBP23031404M,16.81,10.14,5.49
GBP23041401M,14.50,6.28,3.81
GBP23041402M,11.91,5.61,3.61
GBP23041403M,17.77,10.78,5.49
GBP23041404M,11.80,5.95,2.63
GBP23041405M,17.80,10.29,5.82
GBP23061201M,12.17,6.04,4.00
GBP23061202M,12.93,5.99,4.52
GBP23061301M,13.82,7.74,4.88
GBP23061302M,13.51,6.56,4.22
GBP23021601M,15.74,9.36,
GBP23021602M,12.70,6.89,4.51
GBP23021603M,16.54,10.55,5.25
GBP23021604M,13.97,8.44,5.22
GBP23051601M,12.76,4.92,
GBP23051602M,10.64,6.30,2.92
GBP23030101M,16.99,10.30,5.64
GBP23061303M,13.57,7.88,4.04
GBP23061304M,13.95,8.96,3.92
GBP23061305M,14.46,7.21,4.39
GBP23040201M,16.53,10.16,5.49
GBP23040202M,15.63,6.63,4.52
GBP23061401M,10.40,5.97,3.74
GBP23061402M,10.64,5.31,3.62
GBP23061403M,10.41,6.13,3.77
GBP23010301M,18.48,9.82,5.75
GBP23010302M,19.63,11.46,5.66
GBP23020301M,16.36,6.89,5.11
GBP23020302M,17.37,6.98,5.81
GBP23020303M,17.73,9.19,5.58
GBP23020304M,15.17,7.98,5.33
GBP23010303M,16.67,9.23,5.07
GBP23061404M,14.61,7.73,4.71
GBP23061405M,10.88,4.39,3.88
GBP23060201M,13.50,6.57,3.72
GBP23060202M,13.77,6.77,3.52
GBP23020401M,14.96,7.28,5.20
GBP23020402M,16.24,9.96,5.57
GBP23020403M,16.87,9.40,5.56
GBP23040401M,16.51,8.54,5.41
GBP23040402M,17.83,10.88,5.76
GBP23040403M,16.50,9.38,4.93
GBP23050401M,12.48,6.19,4.86
GBP23060203M,14.88,6.97,4.50
GBP23060204M,9.95,4.12,
GBP23060204M,16.85,8.43,
GBP23050501M,16.11,9.27,
GBP23060301M,12.27,5.63,4.23
GBP23020601M,17.94,7.45,5.80
GBP23040701M,14.56,7.59,4.63
GBP23050701M,13.82,6.70,3.75
GBP23020801M,14.16,8.57,4.62
GBP23020901M,16.77,9.68,5.85
GBP23020902M,15.92,10.27,5.95
GBP23010501M,17.12,9.97,5.79
GBP23020501M,17.04,9.70,5.66
GBP23030501M,18.19,11.59,5.62
GBP23050502M,11.21,5.29,4.12
GBP23020701M,15.29,8.06,5.52
GBP23040702M,18.33,11.34,5.16
GBP23050702M,18.26,10.80,5.32
GBP23060302M,14.78,8.58,4.34
GBP23020802M,18.14,10.27,6.01
GBP23060303M,11.79,5.66,3.26
GBP23031301M,16.91,9.38,5.84
GBP23041302M,13.02,5.47,4.02
GBP23021402M,16.72,8.84,5.08
GBP23031405M,16.83,8.91,5.90
GBP23041406M,12.26,5.66,4.12
GBP23021501M,17.64,9.97,6.31
GBP23051501M,14.12,7.12,4.08
GBP23021605M,15.23,8.49,5.46
GBP23031601M,17.03,9.88,6.06
GBP23051601M,11.96,6.13,4.98
GBP23030102M,15.31,8.89,5.12
GBP23050501M,11.89,4.98,
GBP23060304M,18.71,8.44,5.80
GBP23020602M,16.48,9.05,5.98
GBP23011001M,16.94,8.38,5.52
GBP23060305M,14.47,7.16,4.12
GBP23011102M,16.55,9.24,5.65
GBP23021105M,15.59,8.10,5.93
GBP23041105M,16.24,9.76,5.53
GBP23060401M,11.95,6.07,3.99
GBP23040101M,16.31,7.73,5.23
GBP23030201M,17.59,9.27,5.53
GBP23040203M,18.01,9.67,5.44
GBP23060402M,11.79,6.59,3.54
GBP23010304M,15.56,9.21,5.76
GBP23020305M,17.83,9.90,5.52
GBP23040301M,13.30,6.13,4.01
GBP23050301M,11.79,5.75,3.75
GBP23060403M,10.77,6.35,3.81
GBP23020404M,15.05,7.89,4.61
GBP23010305M,16.40,9.43,5.76
GBP23050402M,11.19,5.29,3.90
GBP23050403M,12.54,6.21,4.61
GBP23060404M,11.19,5.41,3.36
GBP23010901M,16.91,9.27,5.57
GBP23020903M,17.03,9.88,5.75
GBP23060501M,15.90,9.28,4.97
GBP23060701M,18.12,10.32,5.83
GBP23060801M,11.73,5.84,3.91
GBP23060901M,13.97,6.19,4.27
GBP23020201M,17.47,9.73,6.02
,16.30,10.35,
,16.69,9.09,
GBP23020202M,17.25,8.46,5.75
,16.90,9.01,