sample_ID,Bombus_sample
Y23060101P,GBP23060101M
Y23060102P,GBP23060102M
Y23060103P,GBP23060103M
Y23060104P,GBP23060104M
Y23061001P,GBP23061001M
Y23031403P,GBP23031403M
Y23041401P,GBP23041401M
Y23041402P,GBP23041402M
Y23061401P,GBP23061401M
Y23061402P,GBP23061402M
Y23061405P,GBP23061405M
Y23020402P,GBP23020402M
Y23040403P,GBP23040403M
Y23060204P,GBP23060204M
Y23060301P,GBP23060301M
Y23050701P,GBP23050701M
Y23010501P,GBP23010501M
Y23050702P,GBP23050702M
Y23060302P,GBP23060302M
Y23060303P,GBP23060303M
Y23031301P,GBP23031301M
Y23030102P,GBP23030102M
Y23050301P,GBP23050301M
Y23050403P,GBP23050403M
Y23060404P,GBP23060404M